# slug	original portrait URL
# Files should be saved to public/heroes/<slug>.png after download.
adam-warlock	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_21.png
angela	https://r.res.easebar.com/pic/20250912/e9d2e592-d36b-4629-af7b-2701e0904c8e.png
black-cat	https://nie.res.netease.com/r/pic/20260417/4e0ad911-844b-4af5-9fa6-e4ec63290963.png
black-panther	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_1.png
black-widow	https://r.res.easebar.com/pic/20241204/a6ba9730-0f63-4eb7-b5f4-f5b7d278bed2.png
blade	https://r.res.easebar.com/pic/20250808/0d3a4fe6-f64a-49a7-9d4d-4d26a77e4d5c.png
captain-america	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_24.png
cloak-and-dagger	https://r.res.easebar.com/pic/20241204/f269efac-a664-4ae6-83d8-a6484e895b99.png
daredevil	https://r.res.easebar.com/pic/20251010/8164eaa4-3d01-4b22-9138-372675826567.png
deadpool	https://r.res.easebar.com/pic/20260116/02b86800-05fe-43cd-8c64-f609870b2dd0.png
doctor-strange	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_2.png
elsa-bloodstone	https://r.res.easebar.com/pic/20260213/800dd6c8-5f41-4a13-bf6a-c81a0adf6916.png
emma-frost	https://r.res.easebar.com/pic/20250408/ecdf660a-5dc5-4d34-9deb-69cc16b123f5.png
gambit	https://r.res.easebar.com/pic/20251115/3b67eab9-6ad3-4668-8d8a-2436759b30f3.png
groot	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_3.png
hawkeye	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_27.png
hela	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_5.png
hulk	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_19.png
human-torch	https://r.res.easebar.com/pic/20250220/881f61ca-101c-43c4-825e-75fa91e88728.png
invisible-woman	https://r.res.easebar.com/pic/20250109/17701da8-10d1-4742-915c-6343caa48072.png
iron-fist	https://r.res.easebar.com/pic/20241201/231c4083-7ae5-4e6b-b014-56bfc2b7aff5.png
iron-man	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_6.png
jeff-the-land-shark	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_23.png
loki	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_7.png
luna-snow	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_18.png
magik	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_12.png
magneto	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_11.png
mantis	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_9.png
mister-fantastic	https://r.res.easebar.com/pic/20250109/f3237262-e11b-4329-a571-59a3d5a777a4.png
moon-knight	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_26.png
namor	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_20.png
peni-parker	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_10.png
phoenix	https://r.res.easebar.com/pic/20250711/7d643548-6514-435f-921c-8123e4ca3bb3.png
psylocke	https://r.res.easebar.com/pic/20241127/4d35d79a-9bd7-4c81-baaa-44ec88797961.png
rocket-raccoon	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_8.png
rogue	https://r.res.easebar.com/pic/20251212/d8271cac-59cc-4a60-9f2a-a8919a762e98.png
scarlet-witch	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_15.png
spider-man	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_13.png
squirrel-girl	https://r.res.easebar.com/pic/20241201/676d5f65-2c50-41ee-8034-445ccbe1674d.png
star-lord	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_16.png
storm	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_17.png
the-punisher	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_4.png
the-thing	https://r.res.easebar.com/pic/20250220/8c9ac64a-b10c-4b5e-9347-639a9a729d65.png
thor	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_22.png
ultron	https://r.res.easebar.com/pic/20250529/ce46ce50-3221-4265-98b1-3cec00887dae.png
venom	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_14.png
white-fox	https://r.res.easebar.com/pic/20260320/e8aabdfd-662f-4f9f-a8f9-fae2b1d28ad1.png
winter-soldier	https://www.marvelrivals.com/pc/gw/5da825b19a6a/heros/kp_25.png
wolverine	https://r.res.easebar.com/pic/20241204/f83f6738-96eb-44f7-b6b1-a40588a78642.png
